ID,nrpts,area,density,ecc,center_1,center_2
98,550,0.1819734,3022.42,0.8322662,37.77872,36.29718
99,69,0.02384515,2893.67,0.6147205,27.48131,39.25549
100,682,0.1984664,3436.35,0.9111668,18.8235,27.35253
101,79,0.01732673,4559.428,0.3141074,17.73845,23.03704
102,2093,0.5028972,4161.884,0.8012893,37.85501,31.54884
103,97,0.02711573,3577.259,0.8287506,32.15221,23.8212
104,652,0.2355053,2768.515,0.8814256,24.63911,21.79128
105,808,0.2356222,3429.218,0.8052995,32.65097,41.03883
107,972,0.3035825,3201.766,0.9220998,24.24876,26.3705
108,912,0.2754705,3310.7,0.622657,27.82592,42.75761
109,472,0.1432475,3294.997,0.8310575,22.08377,40.08476
110,389,0.1438757,2703.723,0.7893213,23.729,19.88844
111,1469,0.414491,3544.106,0.8320571,34.22995,28.9213
112,311,0.1010875,3076.544,0.6397066,31.5937,18.70769
113,50,0.01840529,2716.61,0.4252105,33.4362,19.74564
114,660,0.3004329,2196.83,0.7739352,40.64329,20.80892
115,349,0.151271,2307.117,0.4509628,31.84616,22.53122
116,254,0.08986825,2826.36,0.822049,31.79365,20.2392
117,458,0.1493686,3066.241,0.8089424,30.44136,37.16576
118,361,0.08929596,4042.736,0.7135478,18.45732,31.97542
119,59,0.01326729,4447.027,0.6359413,18.50323,17.56499
120,396,0.1207363,3279.875,0.6583742,33.12862,20.38772
121,81,0.01908782,4243.543,0.8287597,22.66192,31.94123
122,2460,0.8070692,3048.066,0.8833535,41.19158,27.22017
125,1146,0.3176015,3608.296,0.8561028,17.91435,36.57076
126,58,0.02421405,2395.303,0.8179063,19.0616,20.00825
127,295,0.1197152,2464.181,0.8358028,35.28981,29.32581
128,292,0.1038086,2812.869,0.6161652,18.17443,27.21234
129,91,0.03458228,2631.406,0.7290528,40.14624,23.14799
130,204,0.04493262,4540.132,0.5140345,21.66038,18.90005
131,483,0.1279501,3774.91,0.5261536,40.64557,31.26277
132,757,0.2219064,3411.349,0.8163202,41.29225,24.28395
